"ARREST_KEY","ARREST_DATE","PD_CD","PD_DESC","KY_CD","OFNS_DESC","LAW_CODE","LAW_CAT_CD","ARREST_BORO","ARREST_PRECINCT","JURISDICTION_CODE","AGE_GROUP","PERP_SEX","PERP_RACE","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","Lon_Lat"
"87824215","11/25/2012","604","LOITERING 1ST DEGREE FOR DRUG PURPOSES","360","LOITERING FOR DRUG PURPOSES","PL 2403600","M","M","6","0","25-44","M","BLACK","983475.0","206185.0","40.73261505","-74.002797817","POINT (-74.00279781699999 40.73261505000005)"
"87824068","11/25/2012","618","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037V2","V","K","83","0","<18","F","WHITE HISPANIC","1005862.0","190486.0","40.689498668","-73.922071054","POINT (-73.92207105399994 40.689498668000056)"
"87815075","11/24/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","K","75","2","18-24","F","BLACK","1015537.0","178639.0","40.656952422","-73.887239136","POINT (-73.88723913599993 40.65695242200008)"
"87772775","11/20/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","K","83","0","18-24","F","BLACK","1006697.0","189865.0","40.687792088","-73.91906221","POINT (-73.91906220999994 40.68779208800004)"
"87728987","11/17/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","K","73","0","25-44","F","BLACK HISPANIC","1010393.0","184493.0","40.673037028","-73.905756049","POINT (-73.90575604899993 40.67303702800007)"
"87729327","11/17/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","Q","103","0","18-24","F","BLACK","1040191.0","191431.0","40.69194207","-73.798277077","POINT (-73.79827707699997 40.69194207000004)"
"87728656","11/17/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","B","52","0","25-44","M","BLACK","1011612.0","253618.0","40.862763361","-73.901080165","POINT (-73.90108016499995 40.86276336100008)"
"87729067","11/17/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","M","18","0","25-44","F","BLACK","988955.0","217272.0","40.763044865","-73.983017028","POINT (-73.98301702799995 40.76304486500004)"
"87728651","11/17/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","B","52","0","25-44","F","BLACK","1011612.0","253618.0","40.862763361","-73.901080165","POINT (-73.90108016499995 40.86276336100008)"
"87706414","11/15/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","B","41","0","18-24","F","WHITE HISPANIC","1014544.0","236753.0","40.816464297","-73.89055635","POINT (-73.89055634999994 40.81646429700004)"
